word,examples,word_audio,word_search
"die Anmeldung, -en","['Wo bekomme ich die Formulare für die Anmeldung?', 'Die Anmeldung ist im Erdgeschoss, Zimmer 55.']",die Anmeldung,Anmeldung
"annehmen, nimmt an, nahm an, hat angenommen","['Ich nehme Ihre Einladung gern an.', 'Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.']",annehmen,annehmen
"die Annonce, -n","['Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.']",die Annonce,Annonce
"die Anrede, -n",['Du darfst im Brief die Anrede nicht vergessen.'],die Anrede,Anrede
"(jdn) anrufen, ruft an, rief an, hat angerufen",['Ich rufe Sie heute Abend an.'],(jdn) anrufen,(jdn) anrufen
"der Anruf, -e",['Ich warte auf einen Anruf aus Berlin.'],der Anruf,Anruf
"der Anrufbeantworter, -",['Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.'],der Anrufbeantworter,Anrufbeantworter
"die Ansage, -n",['Achten Sie auf die Ansage am Bahnsteig.'],die Ansage,Ansage
"anschaffen, schafft an, schaffte an, hat angeschafft",['Wir haben uns neue Möbel angeschafft.'],anschaffen,anschaffen
"anschließen, schließt an, schloss an, hat angeschlossen",['Wo kann ich den Computer anschließen?'],anschließen,anschließen
"der Anschluss, ¨-e","['In Mannheim haben Sie Anschluss nach Saarbrücken.', 'Ich brauche in meiner Wohnung einen Telefonanschluss.']",der Anschluss,Anschluss
"anschnallen, schnallt an, schnallte an, hat angeschnallt","['Vergiss nicht, dich anzuschnallen.']",anschnallen,anschnallen
"ansehen, sieht an, sah an, hat angesehen","['Warum siehst du mich so erschrocken an?', 'Darf ich eure Urlaubsfotos ansehen?']",ansehen,ansehen
"ansprechen, spricht an, sprach an, hat angesprochen",['Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.'],ansprechen,ansprechen
"der Anspruch, ¨-e",['Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.'],der Anspruch,Anspruch
"anstellen, stellt an, stellte an, hat angestellt","['Können Sie bitte die Heizung anstellen?', 'Mein Schwager ist bei einer Möbelfirma angestellt.', 'Da vorne ist die Kasse. Du musst dich anstellen.']",anstellen,anstellen
"der Angestellte, -n die Angestellte, -n",['Björn ist Angestellter in einem Reisebüro.'],"der Angestellte, die Angestellte",Angestellte
